,CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
0,1.0,1.0,19.0,15.0,39.0,Cluster 2
1,2.0,1.0,21.0,15.0,81.0,Cluster 2
2,3.0,0.0,20.0,16.0,6.0,Cluster 2
3,4.0,0.0,23.0,16.0,77.0,Cluster 2
4,5.0,0.0,31.0,17.0,40.0,Cluster 2
5,6.0,0.0,22.0,17.0,76.0,Cluster 2
6,7.0,0.0,35.0,18.0,6.0,Cluster 2
7,8.0,0.0,23.0,18.0,94.0,Cluster 2
8,9.0,1.0,64.0,19.0,3.0,Cluster 2
9,10.0,0.0,30.0,19.0,72.0,Cluster 2
10,11.0,1.0,67.0,19.0,14.0,Cluster 2
11,12.0,0.0,35.0,19.0,99.0,Cluster 2
12,13.0,0.0,58.0,20.0,15.0,Cluster 2
13,14.0,0.0,24.0,20.0,77.0,Cluster 2
14,15.0,1.0,37.0,20.0,13.0,Cluster 2
15,16.0,1.0,22.0,20.0,79.0,Cluster 2
16,17.0,0.0,35.0,21.0,35.0,Cluster 2
17,18.0,1.0,20.0,21.0,66.0,Cluster 2
18,19.0,1.0,52.0,23.0,29.0,Cluster 2
19,20.0,0.0,35.0,23.0,98.0,Cluster 2
20,21.0,1.0,35.0,24.0,35.0,Cluster 2
21,22.0,1.0,25.0,24.0,73.0,Cluster 2
22,23.0,0.0,46.0,25.0,5.0,Cluster 2
23,24.0,1.0,31.0,25.0,73.0,Cluster 2
24,25.0,0.0,54.0,28.0,14.0,Cluster 2
25,26.0,1.0,29.0,28.0,82.0,Cluster 2
26,27.0,0.0,45.0,28.0,32.0,Cluster 2
27,28.0,1.0,35.0,28.0,61.0,Cluster 2
28,29.0,0.0,40.0,29.0,31.0,Cluster 2
29,30.0,0.0,23.0,29.0,87.0,Cluster 2
30,31.0,1.0,60.0,30.0,4.0,Cluster 2
31,32.0,0.0,21.0,30.0,73.0,Cluster 2
32,33.0,1.0,53.0,33.0,4.0,Cluster 2
33,34.0,1.0,18.0,33.0,92.0,Cluster 2
34,35.0,0.0,49.0,33.0,14.0,Cluster 2
35,36.0,0.0,21.0,33.0,81.0,Cluster 2
36,37.0,0.0,42.0,34.0,17.0,Cluster 2
37,38.0,0.0,30.0,34.0,73.0,Cluster 2
38,39.0,0.0,36.0,37.0,26.0,Cluster 2
